Rank,Retriever,Chunking,Precision,Recall,Entity Recall,Latency,Cost,Overall Score,Faithfulness,Factual Correctness,Response Relevancy,Noise Sensitivity
1,Bm25,Standard,100.0%,100.0%,80.0%,1.66s,$0.0015,0.92,0.9,0.85,0.9,0.7
2,Compression,Standard,100.0%,100.0%,80.0%,2.32s,$0.0015,0.92,0.9,0.85,0.9,0.7
3,Bm25,Semantic,100.0%,100.0%,80.0%,1.99s,$0.0015,0.92,0.9,0.85,0.9,0.7
4,Parent,Doc_Standard,100.0%,100.0%,80.0%,2.21s,$0.0015,0.92,0.9,0.85,0.9,0.7
5,Parent,Doc_Semantic,100.0%,100.0%,80.0%,2.29s,$0.0015,0.92,0.9,0.85,0.9,0.7
6,Compression,Semantic,100.0%,100.0%,80.0%,2.08s,$0.0015,0.92,0.9,0.85,0.9,0.7
7,Ensemble,Semantic,100.0%,98.6%,78.9%,3.78s,$0.0015,0.9147142857142858,0.9,0.85,0.9,0.7
8,Naive,Semantic,100.0%,98.0%,78.4%,2.51s,$0.0015,0.9126000000000001,0.9,0.85,0.9,0.7
9,Ensemble,Standard,100.0%,97.9%,78.3%,3.11s,$0.0015,0.9120714285714286,0.9,0.85,0.9,0.7
10,Naive,Standard,100.0%,97.0%,77.6%,2.94s,$0.0015,0.9089,0.9,0.85,0.9,0.7
11,Multi,Query_Standard,100.0%,96.9%,77.5%,4.31s,$0.0015,0.9086153846153847,0.9,0.85,0.9,0.7
12,Multi,Query_Semantic,100.0%,90.8%,72.7%,3.93s,$0.0015,0.8861267605633802,0.9,0.85,0.9,0.7
